YEAR,PC,parliament_name,parliament_party,myneta_name,myneta_party,match_score,name_score,party_score
2009,GURGAON,SATINDER SINGH THAKRAN,IND,SATENDER SINGH THAKRAN,IND,0.9591,0.9545,1.0
2009,GURGAON,KUSHESHWAR BHAGAT,IND,KUSHESWAR BHAGAT,IND,0.9727,0.9697,1.0
2009,GURGAON,AMAR MOHMMAD,IND,AMAR MOHAMMAD,IND,0.964,0.96,1.0
2009,GWALIOR,RAM RATAN KUSWAH,IND,RAM RATAN KUSHWAH,IND,0.9727,0.9697,1.0
2004,HAJIPUR,RAM VILAS PASWAN,LJP,RAM VILAS PASWAN,LJNSP,0.975,1.0,0.75
2009,HAJIPUR,DASAI CHOUDHARY,INC,DASAI CHOWDHARY,INC,0.94,0.9333,1.0
2009,HAMIRPUR,"PREETAM SINGH LODHI ""KISAAN""",BJP,"PREETAM SINGH LODHI ""KISSAN""",BJP,0.9654,0.9615,1.0
2009,HASSAN,K. H. HANUME GOWDA,BJP,K. H. Hanumegowda,BJP,0.971,0.9677,1.0
2009,HATKANANGLE,ARUN ALIAS SHAM BAJARANG BUCHADE,IND,ARUN ALIAS SHAM BAJARNAG BUCHADE,IND,0.9719,0.9688,1.0
2009,HAVERI,SHIVKUMARGOUD SHIDLINGANGOUDA PATIL,JD(S),SHIVAKUMARGOUDA SHIDDALINGANGOUDA PATIL,JD(S),0.9514,0.9459,1.0
2009,HAVERI,IGALA DILLEPPA KARIYAPPA,BSP,IGAL DILLPPA KARIYAPPA,BSP,0.9609,0.9565,1.0
2009,HAVERI,JAGADEESH YANKAPPA DODMANI,IND,JAGADEESH YANKAPPA DODDAMANI,IND,0.9667,0.963,1.0
2009,HAVERI,FAKKIRESH SHAMBU BIJAPUR,IND,FAKKIRESH SHAMBHU BIJAPUR,IND,0.9816,0.9796,1.0
2009,HAZARIBAGH,MD. MOINUDDIN AHMAD,IND,MD. MOINUDDIN AHMED,IND,0.95,0.9444,1.0
2009,HINGOLI,UTTAMRAO DAGADUJI BHAGAT,PRCP,UTTAMRAO DAGADUJI BHAGAT,PRBP,0.975,1.0,0.75
2009,HOSHANGABAD,HAJEE SYID MUEEN UDDIN,SP,HAJAEE SYID MUEEN UDDIN,SP,0.98,0.9778,1.0
2009,HOWRAH,RAMAVTAR GUPTA,BSP,RAM AVTAR GUPTA,BSP,0.969,0.9655,1.0
2009,HYDERABAD,M.A. HABEEB,IND,Ma Habeeb,IND,0.9526,0.9474,1.0
2009,JADAVPUR,SANDHYA MONDAL,BSP,SANDHAYA MONDAL,BSP,0.969,0.9655,1.0
2009,JAHANABAD,ARVIND PRASAD SINGH,IND,Arbind prasad singh,IND,0.9526,0.9474,1.0
2009,JAHANABAD,JAGDISH YADAV,IND,Jagdis Yadav,IND,0.964,0.96,1.0
2009,JAHANABAD,PRABHAT KUMAR RANJAN,IND,Parbhat Kumar Ranjan,IND,0.955,0.95,1.0
2009,JAHANABAD,SIYA RAM PRASAD,IND,SIYARAM PRASAD,IND,0.969,0.9655,1.0
2009,JAIPUR,RAJ KUMAR,IND,RAJKUMAR,IND,0.9471,0.9412,1.0
2009,JAIPUR,SITA RAM BAIRWA,IND,SITA RMA BAIRWA,IND,0.94,0.9333,1.0
2009,JAIPUR RURAL,RAMNIWAS YADAV,JD(U),RAM NIWAS YADAV,JD(U),0.969,0.9655,1.0
2009,JAIPUR RURAL,RADHEYSHYAM MEENA,IND,RADHEY SHYAM MEENA,IND,0.9743,0.9714,1.0
2009,JAIPUR RURAL,VRADHICHAND KUMAWAT,IND,VRADHI CHAND KUMAWAT,IND,0.9769,0.9744,1.0
2009,JAIPUR RURAL,MATADEEN DHANKA,IND,MATADEEN DHANAKA,IND,0.971,0.9677,1.0
2009,JALORE,DEVJI PATEL,BJP,DEV JI PATEL,BJP,0.9609,0.9565,1.0
2009,JALORE,BAGDARAM,IND,BAGDA RAM,IND,0.9471,0.9412,1.0
2009,JALORE,BHANWAR LAL WAGELA,IND,BHANWAR LAL WAGHELA,IND,0.9757,0.973,1.0
2009,JALORE,CHAGANLAL MEGHWAL,IND,CHHAGAN LAL MEGHWAL,IND,0.95,0.9444,1.0
2009,JALORE,POKARA RAM,IND,POKRA RAM,IND,0.9526,0.9474,1.0
2009,JALPAIGURI,HARI BHAKTA SARDAR,IND,Haribhakta Sardar,IND,0.9743,0.9714,1.0
2004,JAMMU,SANJEEV KUMAR MANMOTRA,LJP,SANJEEV KUMAR MANMOTRA,LJNSP,0.975,1.0,0.75
2009,JAMSHEDPUR,SUMAN MAHATO,JMM,SUMAN MAHTO,JMM,0.9609,0.9565,1.0
2009,JAMUI,BILAKSHAN RABIDAS,IND,BILAKSHAN RAVIDAS,IND,0.9471,0.9412,1.0
2004,JANJGIR,SHOBHA LAL PRAJAPTI,LJP,SHOBHA LAL PRAJAPTI,LJNSP,0.975,1.0,0.75
2004,JAUNPUR,DHANANJAY SINGH,LJP,DHANANJAY SINGH,LJNSP,0.975,1.0,0.75
2004,JHUNJHUNU,RANVEER SINGH GUDHA,LJP,RANVEER SINGH GUDHA,LJNSP,0.975,1.0,0.75
2009,JODHPUR,RAJU RAM,BSP,RAJURAM,BSP,0.94,0.9333,1.0
2009,JODHPUR,CHAMPALAL,IND,CHAMPA LAL,IND,0.9526,0.9474,1.0
2009,KAISERGANJ,BRIJBHUSHAN SHARAN SINGH,SP,BRIJBHUSHAN SARAN SINGH,SP,0.9809,0.9787,1.0
2009,KAISERGANJ,DR LALTA PRASAD MISHRA ALIAS DR L P MISHRA,BJP,DR LALTA PRASAD MISHRA ALIS DR L P MISHRA,BJP,0.9873,0.9859,1.0
2009,KAISERGANJ,RAJ KISHOR SINGH,IND,RAJ KISHORE SINGH,IND,0.9727,0.9697,1.0
2004,KALIABOR,ANIL CHOUDHURY,LJP,ANIL CHOUDHURY,LJNSP,0.975,1.0,0.75
2009,KALYAN,MOHHAMAD YUSUF FAROOKH KHAN,IND,MOHAMMAD YUSUF FAROOKH KHAN,IND,0.9667,0.963,1.0
2009,KALYAN,SIDDIQUE ASFAQUE ALI,IND,SIDDIQUE ASHFAQUE ALI,IND,0.978,0.9756,1.0
2009,KALYAN,BHANUSHALI LAXMIDAS VELJI,IND,BHANUSHALI LAXMINDAS VELJI,IND,0.9824,0.9804,1.0
